 
***** results of dimnesion 50 *****
MatchingRate for Rank 2 is 23.417722 
MatchingRate for Rank 3 is 29.430380 
MatchingRate for Rank 4 is 33.860759 
MatchingRate for Rank 5 is 36.708861 
MatchingRate for Rank 6 is 40.189873 
MatchingRate for Rank 7 is 42.405063 
MatchingRate for Rank 8 is 46.202532 
MatchingRate for Rank 9 is 49.683544 
MatchingRate for Rank 10 is 52.215190 
MatchingRate for Rank 11 is 54.430380 
MatchingRate for Rank 12 is 55.696203 
MatchingRate for Rank 13 is 56.645570 
MatchingRate for Rank 14 is 57.594937 
MatchingRate for Rank 15 is 60.759494 
MatchingRate for Rank 16 is 61.708861 
MatchingRate for Rank 17 is 62.974684 
MatchingRate for Rank 18 is 64.556962 
MatchingRate for Rank 19 is 64.873418 
MatchingRate for Rank 20 is 66.455696 

***** results of dimnesion 120 *****
MatchingRate for Rank 1 is 15.189873 
MatchingRate for Rank 2 is 25.316456 
MatchingRate for Rank 3 is 31.962025 
MatchingRate for Rank 4 is 37.974684 
MatchingRate for Rank 5 is 39.873418 
MatchingRate for Rank 6 is 44.620253 
MatchingRate for Rank 7 is 46.518987 
MatchingRate for Rank 8 is 49.050633 
MatchingRate for Rank 9 is 50.949367 
MatchingRate for Rank 10 is 52.215190 
MatchingRate for Rank 11 is 53.164557 
MatchingRate for Rank 12 is 56.012658 
MatchingRate for Rank 13 is 58.860759 
MatchingRate for Rank 14 is 60.126582 
MatchingRate for Rank 15 is 62.025316 
MatchingRate for Rank 16 is 63.607595 
MatchingRate for Rank 17 is 65.506329 
MatchingRate for Rank 18 is 66.455696 
MatchingRate for Rank 19 is 67.088608 
MatchingRate for Rank 20 is 67.405063 

***** results of dimnesion 80 *****
MatchingRate for Rank 1 is 15.506329 
MatchingRate for Rank 2 is 26.898734 
MatchingRate for Rank 3 is 33.227848 
MatchingRate for Rank 4 is 36.708861 
MatchingRate for Rank 5 is 41.455696 
MatchingRate for Rank 6 is 45.886076 
MatchingRate for Rank 7 is 49.050633 
MatchingRate for Rank 8 is 49.367089 
MatchingRate for Rank 9 is 50.949367 
MatchingRate for Rank 10 is 51.898734 
MatchingRate for Rank 11 is 54.430380 
MatchingRate for Rank 12 is 56.012658 
MatchingRate for Rank 13 is 57.911392 
MatchingRate for Rank 14 is 61.392405 
MatchingRate for Rank 15 is 62.341772 
MatchingRate for Rank 16 is 64.240506 
MatchingRate for Rank 17 is 65.822785 
MatchingRate for Rank 18 is 66.139241 
MatchingRate for Rank 19 is 66.772152 
MatchingRate for Rank 20 is 67.721519 

***** results of dimnesion 90 *****
MatchingRate for Rank 1 is 15.189873 
MatchingRate for Rank 2 is 26.898734 
MatchingRate for Rank 3 is 33.227848 
MatchingRate for Rank 4 is 37.658228 
MatchingRate for Rank 5 is 42.721519 
MatchingRate for Rank 6 is 45.886076 
MatchingRate for Rank 7 is 46.835443 
MatchingRate for Rank 8 is 49.050633 
MatchingRate for Rank 9 is 51.898734 
MatchingRate for Rank 10 is 53.797468 
MatchingRate for Rank 11 is 54.746835 
MatchingRate for Rank 12 is 55.696203 
MatchingRate for Rank 13 is 58.227848 
MatchingRate for Rank 14 is 60.759494 
MatchingRate for Rank 15 is 62.658228 
MatchingRate for Rank 16 is 64.240506 
MatchingRate for Rank 17 is 65.822785 
MatchingRate for Rank 18 is 67.088608 
MatchingRate for Rank 19 is 67.088608 
MatchingRate for Rank 20 is 68.037975 


