
***** results of dimnesion 200 *****
MatchingRate for Rank 8 is 43.037975 
MatchingRate for Rank 9 is 44.303797 
MatchingRate for Rank 10 is 45.886076 
MatchingRate for Rank 11 is 48.734177 
MatchingRate for Rank 12 is 50.316456 
MatchingRate for Rank 13 is 54.430380 
MatchingRate for Rank 14 is 56.012658 
MatchingRate for Rank 15 is 59.177215 
MatchingRate for Rank 16 is 61.392405 
MatchingRate for Rank 17 is 63.291139 
MatchingRate for Rank 18 is 64.873418 
MatchingRate for Rank 19 is 66.455696 
MatchingRate for Rank 20 is 68.354430 

***** results of dimnesion 100 *****
MatchingRate for Rank 1 is 13.607595 
MatchingRate for Rank 2 is 21.202532 
MatchingRate for Rank 3 is 25.000000 
MatchingRate for Rank 4 is 30.696203 
MatchingRate for Rank 5 is 35.126582 
MatchingRate for Rank 6 is 39.240506 
MatchingRate for Rank 7 is 42.721519 
MatchingRate for Rank 8 is 45.886076 
MatchingRate for Rank 9 is 49.050633 
MatchingRate for Rank 10 is 51.582278 
MatchingRate for Rank 11 is 53.164557 
MatchingRate for Rank 12 is 55.696203 
MatchingRate for Rank 13 is 56.962025 
MatchingRate for Rank 14 is 58.544304 
MatchingRate for Rank 15 is 59.810127 
MatchingRate for Rank 16 is 60.759494 
MatchingRate for Rank 17 is 62.341772 
MatchingRate for Rank 18 is 63.291139 
MatchingRate for Rank 19 is 64.556962 
MatchingRate for Rank 20 is 66.139241 

***** results of dimnesion 100 *****
MatchingRate for Rank 1 is 13.607595 
MatchingRate for Rank 2 is 20.886076 
MatchingRate for Rank 3 is 25.632911 
MatchingRate for Rank 4 is 30.063291 
MatchingRate for Rank 5 is 35.443038 
MatchingRate for Rank 6 is 39.240506 
MatchingRate for Rank 7 is 43.354430 
MatchingRate for Rank 8 is 46.518987 
MatchingRate for Rank 9 is 49.683544 
MatchingRate for Rank 10 is 50.949367 
MatchingRate for Rank 11 is 53.481013 
MatchingRate for Rank 12 is 56.012658 
MatchingRate for Rank 13 is 58.544304 
MatchingRate for Rank 14 is 60.126582 
